n,degree,note,D,I,F
16,1,,0.3232492482653529,0.042892599110234596,58.41499462717009
16,2,,0.8823593963934409,0.19378625067168098,64.72177757387713
14,1,,0.33775982992827136,0.07970817338021303,58.414700710820156
14,2,,1.0617509771762257,0.15591520045084728,89.45611567383963
12,1,,0.718076332441708,0.20227355766485752,69.91263436549346
12,2,,1.2808897753234314,0.14974229726973576,253.3680303094081
10,1,,0.47678097446166584,0.26183078401979587,72.08138473041933
10,2,,2.350172431430221,0.3438341496025532,322.2573302080357
8,1,,0.8464591298494513,0.2410138901723254,116.21259020340719
8,2,자유도 부족,,,
