측점,구간,관측ΔD_arcmin,IGRF_ΔD_arcmin,잔여_arcmin,방위각변화_deg,판정
가야,2022~2024,-42.994710000001476,-7.507508821396129,-35.487201178605346,-2.955816000000027,불일치
거제,2019~2024,-39.2302858333316,-19.518215955899105,-19.712069877432494,170.6766494027778,주의
미원,2019~2024,-17.315057333333712,-19.31917442805112,2.004117094717408,-22.888807538888898,정상
부안,2020~2023,50.788085555555526,-11.44906218432979,62.237147739885316,115.1755080925926,불일치
부안,2023~2025,-77.43068166666716,-6.8282921604942715,-70.60238950617288,7.9248173888889255,불일치
상주,2020~2023,-16.336263888889526,-11.176667043828914,-5.159596845060612,2.305493935185183,정상
상주,2023~2025,-4.221726666666541,-6.699346413770471,2.4776197471039296,1.5996666388888912,정상
성산,2023~2025,-7.6261266666671546,-6.996255135653087,-0.6298715310140679,-9.404770861111103,정상
순천,2020~2023,-12.966435476189986,-11.495975234779792,-1.4704602414101942,15.958227206349207,정상
순천,2023~2025,-6.354125000000224,-6.879017237082969,0.5248922370827458,-45.75717958333334,정상
여주,2023~2025,4.37184499999919,-6.6329430858532135,11.004788085852404,-4.172739666666644,주의
이원,2019~2024,-27.707833333333305,-19.434379514383764,-8.273453818949541,-1.604714722222269,주의
포천,2020~2023,-43.30470888888719,-11.10437460346617,-32.20033428542102,159.52499335185186,불일치
포천,2023~2025,15.723161666666101,-6.619676833582098,22.3428385002482,-5.397575555555534,불일치
함양,2020~2023,-17.19889833333461,-11.357587767088688,-5.841310566245923,-0.8236070555555415,정상
함양,2023~2025,70.0856683333336,-6.799834089086083,76.88550242241968,0.6729519722222221,불일치
