mode,n_obs,n,D,I,F
none,33,17,0.9682715456425495,0.2477781369270277,78.78370242747687
drop_storm,23,14,0.8752643387910726,0.30057171622865425,68.78008684600019
subtract,33,17,1.0791899090390216,0.2477781369270277,138.54329941391455
subtract_quiet,33,17,1.213194338435338,0.2477781369270277,135.23766266585403
