site_id,lat,lon,priority,score,s1_희소성,s2_지형,s3_전력철도,s4_인구이격,s5_자기균일,dem_slope_deg,d_power_km,d_railway_km,d_urban_km
79,37.57387,128.16831,3,48.4,2.9,14.6,4.2,9.0,8.0,0.75,0.0,0.8,1.2
80,37.664,128.16911,1,57.3,2.2,14.3,11.4,9.9,8.0,1.34,6.0,10.7,2.4
81,37.84425,128.17074,2,55.4,2.2,13.3,11.0,9.7,8.0,3.44,1.2,29.7,2.2
82,38.20474,128.17403,3,52.2,1.9,13.0,12.2,9.7,5.0,4.02,5.8,39.3,2.0
83,38.29486,128.17487,2,53.7,2.2,13.9,12.6,9.3,5.0,2.23,12.6,30.4,1.5
84,36.76197,128.27323,2,54.2,3.3,12.7,10.3,9.0,8.0,4.54,1.1,9.7,1.2
85,37.39292,128.27967,3,52.3,2.6,13.7,10.2,10.3,5.0,2.54,1.0,9.1,3.3
86,37.6633,128.28249,2,55.9,2.1,13.2,11.3,10.1,8.0,3.65,7.4,7.5,2.9
87,37.75343,128.28344,1,58.6,2.0,14.2,12.0,10.6,8.0,1.58,8.9,17.3,4.4
88,37.84355,128.28439,3,51.2,2.4,13.3,11.6,8.7,5.0,3.46,3.0,27.0,1.0
89,38.02379,128.28631,1,57.7,2.2,14.4,11.2,8.3,10.0,1.13,1.0,43.6,0.7
90,38.11391,128.28727,2,54.4,1.9,14.4,12.0,10.2,5.0,1.14,3.3,46.2,3.1
91,38.20403,128.28824,3,52.3,1.8,14.1,10.2,10.8,5.0,1.75,0.2,36.4,4.9
92,38.29415,128.28921,3,53.4,1.9,14.2,11.8,9.8,5.0,1.64,4.4,26.6,2.2
93,36.76119,128.38526,1,57.8,3.4,13.9,10.6,8.3,10.0,2.2,1.9,8.8,0.7
94,37.12173,128.38944,3,53.5,3.3,14.8,9.8,6.9,8.0,0.42,3.7,1.3,0.2
95,37.30199,128.39156,3,51.3,2.8,14.5,10.0,8.7,5.0,0.91,1.3,4.7,1.0
96,37.48225,128.3937,1,58.5,2.8,14.5,10.2,9.3,10.0,1.05,2.5,3.6,1.5
97,37.6625,128.39586,2,56.4,2.2,14.0,11.4,7.5,10.0,2.05,9.7,6.3,0.4
98,37.93286,128.39913,2,54.5,2.2,12.9,12.0,8.5,8.0,4.21,4.9,29.7,0.8
99,38.02298,128.40023,1,56.7,1.9,12.5,11.4,9.5,10.0,4.9,1.5,38.5,1.8
100,38.11309,128.40133,3,53.3,1.8,12.1,12.6,11.2,5.0,5.86,8.9,45.1,7.0
101,38.20321,128.40244,3,52.7,1.9,12.9,11.8,10.5,5.0,4.11,3.3,35.1,3.9
102,38.29332,128.40356,3,53.0,2.2,14.2,11.6,9.4,5.0,1.69,3.3,25.1,1.7
103,36.4899,128.49381,1,62.8,5.6,14.1,11.7,8.8,10.0,1.75,10.0,10.4,1.0
104,36.94057,128.49963,2,54.5,2.6,12.5,9.8,8.7,10.0,4.94,4.6,1.1,0.9
105,37.0307,128.50081,2,55.1,2.2,12.8,11.6,9.5,8.0,4.37,7.8,10.0,1.8
106,37.30109,128.50438,1,56.7,3.1,13.4,10.4,8.5,10.0,3.29,1.6,7.9,0.8
107,37.48134,128.50679,2,54.9,2.8,12.9,10.2,10.1,8.0,4.29,1.9,4.8,2.8
108,37.66158,128.50922,1,57.1,2.2,14.0,10.0,9.5,10.0,1.97,6.7,1.0,1.8
