name,station,year,lat,lon,rD,rI,rF,측점,연도,dD_ext,dI_ext,dF_ext,n,Kp,dD_ext_w,dI_ext_w,dF_ext_w,rD_w,rI_w,rF_w
거제,거제,2024,34.870311083333334,128.59286111111112,6.852630059921481,21.119916799773364,-114.91633597903274,거제,2024,-4.317368798508489,-0.7263056534578892,63.566654176921084,7,4.333,-0.41510481524283227,0.1738922484771822,12.386905886877123,-12.235122726785885,5.7000732050792635,-8.361504531104103
가야,가야,2022,35.80078258333333,128.18765805555557,42.836413205653855,2.4183549894702594,-490.30722117940604,가야,2022,-2.499597452088397,-0.6326314697821324,27.911107859268668,6,2.0,2.8970869950746114,-4.792823170440008,38.37096296312848,17.78192567015796,10.864242598703555,-13.876256085233763
가야,가야,2024,35.80078258333333,128.18765805555557,7.272561865337934,-19.31013020793685,-462.5547090089385,가야,2024,-8.29377144223762,8.953014871097885,-48.830818066988286,6,5.667,-2.897086995074612,4.792823170440009,-38.37096296312848,-17.78192567015796,-10.864242598703555,13.876256085233763
이원,이원,2024,36.07088027777778,127.69973402777778,7.746649141942612,23.42853384056525,-60.29325014126516,이원,2024,-3.480450974979803,-1.4922470399536707,29.517202179761323,6,1.333,-1.4461634905136065,-0.3818246356621944,0.501904649796213,-4.69280966229382,-1.1909729551680925,-104.58155277063875
성산,성산,2023,33.524479916666664,126.89416197222224,-52.01150284641759,38.52252413047793,-189.33077925399994,성산,2023,-4.111366222129189,-0.7124749472003273,33.272163828386205,12,1.0,-1.540569831140846,-0.6002683425869669,-0.8080645154974846,0.0344457948163992,-0.8456789852698421,-19.648461985674658
성산,성산,2025,33.524479916666664,126.89416197222224,-52.0803944360504,40.21388210101762,-150.03385528265062,성산,2025,-1.030226559847497,0.4880617379736066,34.88829285938118,7,3.667,1.5405698311408462,0.6002683425869669,0.8080645154974917,-0.034445794816406305,0.8456789852698421,19.648461985674658
순천,순천,2023,34.78708333333333,127.30497222222222,-16.389738505747395,19.52375739246392,-10.969630977066117,순천,2023,-3.196433640751103,0.6295841333880385,25.75397311837878,7,3.333,-0.25514135454217257,-0.008677512157513001,3.7430904066854325,-0.3326822875767732,7.343957500691545,62.638049009437964
순천,순천,2025,34.78708333333333,127.30497222222222,-15.724373930593849,4.835842391080831,-136.24572899594205,순천,2025,-2.686150931666758,0.6469391577030645,18.26779230500792,7,3.667,0.25514135454217257,0.008677512157513001,-3.743090406685429,0.3326822875767732,-7.343957500691545,-62.638049009437964
여주,여주,2023,37.445381,127.58998836111111,-27.653773214377857,8.994159143067293,32.23701594125305,여주,2023,-1.7267325681670749,-2.5882160759264194,62.274303522698965,7,2.0,0.6498813821566758,-0.7215780638019784,28.494028910976077,-4.974469419808489,1.3775713879126528,3.5335889674352075
여주,여주,2025,37.445381,127.58998836111111,-17.70483437476088,6.239016367241987,25.169838006382633,여주,2025,-3.0264953324804265,-1.1450599483224628,5.286245700746804,6,3.333,-0.6498813821566758,0.7215780638019782,-28.494028910976084,4.974469419808489,-1.3775713879126528,-3.5335889674352075
거제,거제,2019,34.870311083333334,128.59286175,24.826477900709616,11.636565558173118,-102.32027999591082,거제,2019,-3.6947115756442406,-0.9871440261736626,44.9862953466054,4,0.667,0.2075524076214159,-0.08694612423859116,-6.193452943438558,5.73872511400225,-3.783278036520983,4.234551452017811
거제,거제,2019,34.870311083333334,128.59286175,25.584150399491,13.50304842613582,-102.42787836884236,거제,2019,-3.6947115756442406,-0.9871440261736626,44.9862953466054,4,0.667,0.2075524076214159,-0.08694612423859116,-6.193452943438558,6.496397612783635,-1.9167951685582807,4.126953079086277
남지,남지,2019,35.43611111111111,128.47361111111113,27.855739011268916,-12.680047710651365,-142.75572142221063,남지,2019,-4.215370892433287,-0.6982571921548759,36.79530582752826,3,0.667,0.0,0.0,0.0,-0.5591168364765586,-0.26497729512122703,18.509463432837947
남지,남지,2019,35.43611111111111,128.47361111111113,28.973972684222034,-12.150093120408911,-179.77464828788652,남지,2019,-4.215370892433287,-0.6982571921548759,36.79530582752826,3,0.667,0.0,0.0,0.0,0.5591168364765586,0.26497729512122703,-18.509463432837947
이원,이원,2019,36.07088027777778,127.69973402777778,14.205644920881646,26.969058880308836,103.1115448888595,이원,2019,-1.3112057392093937,-0.9195100864603792,28.764345205067002,4,1.0,0.7230817452568028,0.19091231783109708,-0.25095232489810826,1.7661861166452137,2.3495520845754925,58.8232422594859
이원,이원,2019,36.07088027777778,127.69973402777778,15.366082349885044,23.460927666325944,90.04661314052646,이원,2019,-1.3112057392093937,-0.9195100864603792,28.764345205067002,4,1.0,0.7230817452568028,0.19091231783109708,-0.25095232489810826,2.926623545648612,-1.1585791294074,45.758310511152864
