mode,n_obs,n,D,I,F
none,33,17,0.7690844885563614,0.1787452813051778,60.264650609823725
drop_storm,23,14,0.7429572379236697,0.28455613200689744,63.27665784797907
subtract,33,17,0.84810938273535,0.1787452813051778,68.99131427690938
subtract_quiet,33,17,0.9007671284826259,0.1787452813051778,74.85090137590053
