순위,관리번호,후보지명,등급,위도,경도,최대공백_감소_km,평균거리_감소_km,적용후_최대공백_km
1,DS-070,현리 신규점,C,37.7661,128.2805,11.9,3.25,117.6
2,DS-048,보령 신규점1,D,36.257,126.6936,19.2,3.3,98.4
3,DS-102,부안 신규점,B,35.5418,126.6456,5.6,1.88,92.8
4,DS-047,화천 기존점,A,38.1156,127.6867,0.7,0.85,92.1
5,DS-103,조도 신규점,C,34.4013,126.2357,3.6,0.74,88.5
6,DS-020,예안 신규점1,B,36.7454,128.8536,4.8,2.36,83.7
7,DS-100,대부 신규점,C,37.1777,126.7203,1.5,1.22,82.1
8,DS-046,오호 신규점,B,38.3189,128.5218,8.3,0.68,73.8
9,DS-052,모슬포 신규점1,C,33.2069,126.2716,4.5,0.47,69.3
10,DS-033,청송 신규점1,B,36.3829,129.1458,2.9,0.81,66.5
11,DS-095,자은 신규점2,C,34.923,126.0612,0.3,0.37,66.2
12,DS-057,덕산 신규점1,B,36.8885,128.1927,0.2,0.9,66.0
13,DS-075,고남 신규점2,B,36.4523,126.3958,6.8,0.41,59.2
14,DS-004,남해 신규점1,B,34.8523,127.9815,2.8,0.74,56.4
15,DS-018,연곡 신규점2,C,37.8109,128.5725,0.5,0.4,55.9
16,DS-008,태백 신규점,A,37.0207,128.9839,2.1,0.39,53.8
17,DS-082,진안 신규점2,B,35.9043,127.2605,0.9,0.52,52.9
18,DS-090,밀양 신규점2,C,35.4458,128.99,0.0,0.36,52.9
19,DS-013,청일 신규점2,B,37.6186,128.1698,0.4,0.27,52.5
20,DS-101,만리포 신규점,C,36.7565,126.1325,0.1,0.18,52.4
