mode,quality,source,n_obs,n,D,I,F
none,none,cyg,33,17,0.7533727624997447,0.07540486177884875,60.264650609823725
drop_storm,none,cyg,23,14,0.6760459855541847,0.13183613920090742,63.27665784797907
subtract,none,cyg,33,17,0.8215984409260554,0.07540486177884875,68.99131427690938
subtract,none,multi,33,17,0.844448458107379,0.07540486177884875,89.10407123335544
subtract_quiet,none,cyg,33,17,0.8690644100983514,0.07540486177884875,74.85090137590053
subtract_quiet,none,multi,33,17,0.8865858260676639,0.07540486177884875,93.67318353786123
subtract_D,none,cyg,33,17,0.8215984409260554,0.07540486177884875,60.264650609823725
subtract_D,none,multi,33,17,0.844448458107379,0.07540486177884875,60.264650609823725
