측점,방문수,연도,F_산포_nT,D_산포_arcmin,I_산포_arcmin
이원,4,2022/2024/2019/2019,163.40479503012466,10.951809294665455,3.5081312139828924
순천,2,2023/2025,125.27609801887593,0.1550818660692599,14.70527002569824
거제,4,2022/2024/2019/2019,122.18348305358813,14.414151541061031,10.209656895058004
성산,2,2023/2025,39.296923971349315,3.150031251914509,0.4908212853659677
남지,2,2019/2019,37.018926865675894,1.1182336729531173,0.5299545902424541
강화,2,2022/2024,28.833682324671827,88.6730002914738,31.185858618997884
가야,2,2022/2024,27.752512170467526,29.769677350166628,31.31413153828717
미원,2,2022/2024,13.103918565750064,7.665521890054627,0.1242393206092629
삼척,2,2022/2024,7.883035335806198,66.7574187550175,3.2131506067612747
여주,2,2023/2025,7.067177934870415,11.248701603930407,4.198298903429105
