name,code,min_lon,min_lat,max_lon,max_lat
위도,NI52-01-9,126.25,35.5,126.5,35.75
전주,NI52-01-5,127.0,35.833333333333336,127.25,36.0
진안,NI52-01-6,127.25,35.75,127.5,36.0
무주,NI52-01-7,127.5,35.75,127.75,36.0
무풍,NI52-02-1,127.75,35.833333333333336,128.0,36.0
거창,NI52-02-8,127.75,35.666666666666664,128.0,35.833333333333336
가야,NI52-02-2,128.0,35.75,128.25,36.0
왜관,NI52-02-3,128.25,35.75,128.5,36.0
영천,NI52-02-5,128.75,35.75,129.0,36.0
합천,NI52-02-9,128.0,35.5,128.25,35.75
경주,NI52-02-6,129.00277777777777,35.833333333333336,129.25277777777777,36.0
불국사,NI52-02-7,129.25,35.75,129.5,36.0
만리포,NJ52-13-1,126.0,36.75,126.25,37.0
서산,NJ52-13-2,126.25,36.75,126.5,37.0
아산,NJ52-13-4,126.75,36.75,127.0,37.0
근흥,NJ52-13-8,126.0,36.5,126.25,36.75
평택,NJ52-13-5,127.0,36.833333333333336,127.25,37.0
진천,NJ52-13-6,127.25,36.75,127.5,37.0
음성,NJ52-13-7,127.5,36.75,127.75,37.0
충주,NJ52-14-1,127.75,36.75,128.0,37.0
속리,NJ52-14-8,127.75,36.5,128.0,36.75
덕산,NJ52-14-2,128.0,36.75,128.25,37.0
단양,NJ52-14-3,128.25,36.75,128.5,37.0
영주,NJ52-14-4,128.5,36.75,128.75,37.0
춘양,NJ52-14-5,128.75,36.75,129.0,37.0
문경,NJ52-14-9,128.0,36.5,128.25,36.75
소천,NJ52-14-6,129.0,36.75,129.25,37.0
울진,NJ52-14-7,129.25,36.666666666666664,129.5,36.833333333333336
일동,NJ52-09-6,127.25,37.75,127.5,38.0
춘천,NJ52-09-7,127.50277777777778,37.833333333333336,127.75,38.0
내평,NJ52-10-1,127.75,37.75,128.0,38.0
홍천,NJ52-10-8,127.75,37.5,128.0,37.75
어론,NJ52-10-2,128.00277777777777,37.833333333333336,128.25277777777777,38.0
현리,NJ52-10-3,128.25277777777777,37.833333333333336,128.50277777777777,38.0
연곡,NJ52-10-4,128.5,37.75,128.75,38.0
강릉,NJ52-10-5,128.75277777777777,37.833333333333336,129.00277777777777,38.0
봉평,NJ52-10-10,128.25,37.5,128.5,37.75
하기도,NJ51-08-60,124.75,37.666666666666664,125.0,37.833333333333336
창린도,NJ51-08-61,125.0,37.666666666666664,125.25,37.833333333333336
용호도,NJ51-08-62,125.25,37.666666666666664,125.5,37.833333333333336
부포리,NJ51-08-63,125.56666666666666,37.666666666666664,125.66666666666667,37.833333333333336
용매리,NJ51-08-64,125.75,37.666666666666664,126.0,37.833333333333336
마항동,NJ52-09-09,126.0,37.666666666666664,126.25,37.833333333333336
해창리,NJ52-09-10,126.25,37.666666666666664,126.5,37.833333333333336
조강리,NJ52-09-11,126.5,37.666666666666664,126.75,37.833333333333336
자매도,NJ51-08-12,124.75,38.666666666666664,125.0,38.833333333333336
사기동,NJ51-08-28,124.75,38.333333333333336,125.0,38.5
석교리,NJ51-08-36,124.75,38.166666666666664,125.0,38.333333333333336
장산곶,NJ51-08-43,124.5,38.0,124.75,38.166666666666664
홍거리,NJ51-08-44,124.75,38.0,125.0,38.166666666666664
마합도,NJ51-08-52,124.75,37.833333333333336,125.0,38.0
광량만,NJ51-08-13,125.0,38.666666666666664,125.25,38.833333333333336
남포,NJ51-08-14,125.25,38.666666666666664,125.5,38.833333333333336
송림,NJ51-08-15,125.5,38.666666666666664,125.75,38.833333333333336
황주,NJ51-08-16,125.75,38.666666666666664,126.0,38.833333333333336
추도,NJ51-08-20,125.75,38.5,125.0,38.666666666666664
은율,NJ51-08-21,125.0,38.5,125.25,38.666666666666664
안악,NJ51-08-22,125.25,38.5,125.5,38.666666666666664
화산리,NJ51-08-23,125.5,38.5,125.75,38.666666666666664
사리원,NJ51-08-24,125.75,38.5,126.0,38.666666666666664
송화,NJ51-08-29,125.0,38.333333333333336,125.25,38.5
신천,NJ51-08-30,125.25,38.333333333333336,125.5,38.5
재령,NJ51-08-31,125.5,38.333333333333336,125.75,38.5
마산리,NJ51-08-32,125.75,38.333333333333336,126.0,38.5
장연,NJ51-08-37,125.25,38.166666666666664,125.5,38.333333333333336
온천리,NJ51-08-38,125.25,38.166666666666664,125.5,38.333333333333336
신원리,NJ51-08-39,125.5,38.166666666666664,125.75,38.333333333333336
아양리,NJ51-08-40,125.75,38.166666666666664,126.0,38.333333333333336
남호리,NJ51-08-45,125.0,38.0,125.25,38.166666666666664
태탄,NJ51-08-46,125.25,38.0,125.5,38.166666666666664
해주,NJ51-08-47,125.5,38.0,125.75,38.166666666666664
신주막,NJ51-08-48,125.75,38.0,126.0,38.166666666666664
읍저리,NJ51-08-53,125.0,37.833333333333336,125.25,38.0
옹진,NJ51-08-54,125.25,37.833333333333336,125.5,38.0
강령,NJ51-08-55,125.5,37.833333333333336,125.75,38.0
청단,NJ51-08-56,125.75,37.833333333333336,126.0,38.0
연안,NJ52-09-01,126.0,37.833333333333336,126.25,38.0
백천,NJ52-09-02,126.25,37.833333333333336,126.5,38.0
개성,NJ52-09-03,126.5,37.833333333333336,126.75,38.0
두매리,NJ52-09-04,126.75,37.833333333333336,127.0,37.0
온정리,NJ51-08-05,126.0,38.0,126.25,38.166666666666664
능리,NJ52-05-09,126.0,38.666666666666664,126.25,38.833333333333336
수안,NJ52-05-10,126.25,38.666666666666664,126.5,38.833333333333336
곡산,NJ52-05-11,126.5,38.666666666666664,126.75,38.833333333333336
귀락리,NJ52-05-12,126.75,38.666666666666664,127.0,38.833333333333336
송월리,NJ52-05-17,126.0,38.166666666666664,126.25,38.666666666666664
도하리,NJ52-05-18,126.25,38.5,126.5,38.666666666666664
신계,NJ52-05-19,126.5,38.5,126.75,38.666666666666664
송정리,NJ52-05-20,126.75,38.5,127.0,38.666666666666664
남천점,NJ52-05-26,126.25,38.333333333333336,126.5,38.5
추천리,NJ52-05-27,126.75,38.333333333333336,127.0,38.5
이천,NJ52-05-28,126.5,38.333333333333336,126.75,38.5
기린리,NJ52-05-33,126.0,38.166666666666664,126.25,38.333333333333336
한포리,NJ52-05-34,126.25,38.166666666666664,126.5,38.333333333333336
시변리,NJ52-05-35,126.5,38.166666666666664,126.75,38.333333333333336
삭녕,NJ52-05-36,126.75,38.166666666666664,127.0,38.333333333333336
온정리,NJ52-05-41,126.0,38.0,126.25,38.166666666666664
금천,NJ52-05-42,126.25,38.0,126.5,38.166666666666664
장풍,NJ52-05-43,126.5,38.0,126.75,38.166666666666664
백학동,NJ52-05-44,126.75,38.0,127.0,38.166666666666664
가려주리,NJ52-05-13,127.0,38.666666666666664,127.25,38.833333333333336
삼방,NJ52-05-14,127.25,38.666666666666664,127.5,38.833333333333336
회양,NJ52-05-15,127.5,38.666666666666664,127.75,38.833333333333336
화천리,NJ52-05-16,127.75,38.666666666666664,128.0,38.833333333333336
후평리,NJ52-05-21,127.0,38.5,127.25,38.666666666666664
세포리,NJ52-05-22,127.25,38.5,127.5,38.666666666666664
창도리,NJ52-05-23,127.5,38.5,127.75,38.666666666666664
금강,NJ52-05-24,127.75,38.5,128.0,38.666666666666664
옥동리,NJ52-05-29,127.0,38.333333333333336,127.25,38.5
평강,NJ52-05-30,127.25,38.333333333333336,127.5,38.5
금성,NJ52-05-31,127.5,38.333333333333336,127.75,38.5
점방리,NJ52-05-32,127.75,38.333333333333336,128.0,38.5
마방리,NJ52-05-37,127.0,38.166666666666664,127.25,38.333333333333336
지촌,NJ52-05-38,127.25,38.166666666666664,127.5,38.333333333333336
삼현리,NJ52-05-39,127.5,38.166666666666664,127.75,38.333333333333336
문등리,NJ52-05-40,127.75,38.166666666666664,128.0,38.333333333333336
장전,NJ52-06-09,128.0,38.666666666666664,128.25,38.833333333333336
고성,NJ52-06-10,128.25,38.666666666666664,128.5,38.833333333333336
고목리,NJ52-06-17,128.0,38.5,128.25,38.666666666666664
고미성리,NJ52-06-26,128.25,38.333333333333336,128.5,38.5
석사리,NJ52-06-33,128.0,38.166666666666664,128.25,38.333333333333336
신도,NJ51-04-09,124.0,39.666666666666664,124.25,39.833333333333336
다사도,NJ51-04-10,124.25,39.666666666666664,124.5,39.833333333333336
철산,NJ51-04-11,124.5,39.666666666666664,124.75,39.833333333333336
선천,NJ51-04-12,124.75,39.666666666666664,125.0,39.833333333333336
담안,NJ51-04-19,124.5,39.5,124.75,39.666666666666664
신미도,NJ51-04-20,124.75,39.5,125.0,39.666666666666664
대화동,NJ51-04-27,124.5,39.333333333333336,124.75,39.5
우리도,NJ51-04-28,124.75,39.333333333333336,125.0,39.5
납도,NJ51-04-35,124.5,39.166666666666664,124.75,39.333333333333336
용강,NJ51-08-06,125.25,38.833333333333336,125.5,39.0
기양,NJ51-08-07,125.5,38.833333333333336,125.75,39.0
중화,NJ51-08-08,125.75,38.833333333333336,126.0,39.0
정주,NJ51-04-13,125.0,39.666666666666664,125.25,39.833333333333336
