측점,날짜,시작,종료,편각구간,복각구간,D_utc,I_utc,Kp,Kp_flag,관측소_D변동_분,관측소_I변동_분,관측소_F변동_nT,관측소_dB_nT,QC,dF,dD_arcmin,dI_arcmin,n_station,보간,창,상태,파일
가야,2022-09-19,16:15:00,16:40:00,16:15~16:25,16:30~16:40,2022-09-19 07:15~07:25,2022-09-19 07:30~07:40,0.667,QUIET,0.22,0.21,7.1,10.4,QUIET,23.10852363811864,-1.334028002631443,0.026995717236961793,4,plane,성분별,정상,2022.09.19.지자기야장(가야).xlsx
가야,2022-09-19,16:52:00,17:13:00,16:52~17:00,17:03~17:13,2022-09-19 07:52~08:00,2022-09-19 08:03~08:13,0.667,QUIET,0.17,0.19,3.8,5.8,QUIET,17.101680498293717,-1.3573731386551222,0.4678779373590798,4,plane,성분별,정상,2022.09.19.지자기야장(가야).xlsx
가야,2022-09-19,17:37:00,17:56:00,17:37~17:44,17:47~17:56,2022-09-19 08:37~08:44,2022-09-19 08:47~08:56,0.667,QUIET,0.23,0.13,4.5,8.4,QUIET,28.30192884609278,-2.389662523599085,-0.545466262867325,4,plane,성분별,정상,2022.09.19.지자기야장(가야).xlsx
가야,2022-09-20,11:24:00,11:49:00,11:24~11:32,11:42~11:49,2022-09-20 02:24~02:32,2022-09-20 02:42~02:49,2.0,QUIET,0.28,0.1,2.9,7.3,QUIET,36.18843033464509,-2.9939462047223726,-1.5697540587381515,4,plane,성분별,정상,2022.09.19.지자기야장(가야).xlsx
가야,2022-09-20,12:02:00,12:19:00,12:02~12:09,12:12~12:19,2022-09-20 03:02~03:09,2022-09-20 03:12~03:19,2.0,QUIET,0.11,0.07,2.3,3.4,QUIET,36.35360206494806,-2.501543168525555,-1.4979230125998455,4,plane,성분별,정상,2022.09.19.지자기야장(가야).xlsx
가야,2022-09-20,12:37:00,12:51:00,12:37~12:43,12:46~12:51,2022-09-20 03:37~03:43,2022-09-20 03:46~03:51,2.0,QUIET,0.16,0.11,3.9,5.8,QUIET,33.77064124532626,-2.414494444955083,-1.2995598176679206,4,plane,성분별,정상,2022.09.19.지자기야장(가야).xlsx
가야,2024-09-12,11:06:00,11:22:00,11:06~11:12,11:15~11:22,2024-09-12 02:06~02:12,2024-09-12 02:15~02:22,2.0,QUIET,0.3,0.36,7.4,13.0,QUIET,-23.192533652421844,-14.126825297912706,6.397419749774655,4,plane,성분별,정상,배포_지자기야장.가야(2024.09.12.측정).xlsx
가야,2024-09-12,12:00:00,12:17:00,12:00~12:06,12:10~12:17,2024-09-12 03:00~03:06,2024-09-12 03:10~03:17,3.667,DISTURBED,0.35,0.6,12.7,18.4,CAUTION,4.524518112441001,-10.308379523184461,4.966814440417813,4,plane,성분별,정상,배포_지자기야장.가야(2024.09.12.측정).xlsx
가야,2024-09-12,12:48:00,13:08:00,12:48~12:56,13:01~13:08,2024-09-12 03:48~03:56,2024-09-12 04:01~04:08,3.667,DISTURBED,1.15,0.55,26.9,39.6,CAUTION,-59.90909017688682,-10.441111148515578,9.477704661768803,4,plane,성분별,정상,배포_지자기야장.가야(2024.09.12.측정).xlsx
가야,2024-09-12,13:39:00,13:57:00,13:39~13:45,13:50~13:57,2024-09-12 04:39~04:45,2024-09-12 04:50~04:57,3.667,DISTURBED,0.14,0.74,12.4,15.6,CAUTION,-79.20481036156707,-9.633590208089604,11.389611228021769,4,plane,성분별,정상,배포_지자기야장.가야(2024.09.12.측정).xlsx
가야,2024-09-12,14:16:00,14:42:00,14:16~14:22,14:36~14:42,2024-09-12 05:16~05:22,2024-09-12 05:36~05:42,3.667,DISTURBED,0.11,0.36,4.7,12.7,CAUTION,-62.495404966502974,-8.675116267096547,10.442302953924841,4,plane,성분별,정상,배포_지자기야장.가야(2024.09.12.측정).xlsx
