측점,날짜,시작,종료,편각구간,복각구간,D_utc,I_utc,Kp,Kp_flag,관측소_D변동_분,관측소_I변동_분,관측소_F변동_nT,관측소_dB_nT,QC,dF,dD_arcmin,dI_arcmin,n_station,보간,창,상태,파일
거제,2019-06-18,16:10:00,16:27:00,16:10~16:15,16:20~16:27,2019-06-18 07:10~07:15,2019-06-18 07:20~07:27,0.333,QUIET,0.16,0.14,1.0,5.7,QUIET,0.04196938848326681,-2.7201209632520404,-0.9161653997089528,1,nearest,성분별,정상,남지.거제 지자기 야장 문서.xlsx
거제,2019-06-18,16:45:00,17:01:00,16:45~16:52,16:55~17:01,2019-06-18 07:45~07:52,2019-06-18 07:55~08:01,0.333,QUIET,0.13,0.04,1.2,3.0,QUIET,0.6544216892798431,-1.8685669624456958,-0.750349606858698,1,nearest,성분별,정상,남지.거제 지자기 야장 문서.xlsx
거제,2019-06-19,11:01:00,11:20:00,11:01~11:10,11:15~11:20,2019-06-19 02:01~02:10,2019-06-19 02:15~02:20,0.667,QUIET,0.43,0.06,2.0,7.0,QUIET,-25.259640223375754,1.602848384178199,0.21954716275140196,1,nearest,성분별,정상,남지.거제 지자기 야장 문서.xlsx
거제,2019-06-19,11:42:00,12:04:00,11:42~11:48,11:58~12:04,2019-06-19 02:42~02:48,2019-06-19 02:58~03:04,0.667,QUIET,0.23,0.07,0.8,7.8,QUIET,-26.56303448298422,-0.0032763374220712536,-0.11682559057898871,1,nearest,성분별,정상,남지.거제 지자기 야장 문서.xlsx
거제,2024-10-24,11:07:00,11:25:00,11:07~11:13,11:15~11:25,2024-10-24 02:07~02:13,2024-10-24 02:15~02:25,2.667,CAUTION,0.04,0.07,5.5,7.5,QUIET,-39.11255472445191,2.273204324428443,1.1942308849147987,1,nearest,성분별,정상,배포.지자기(거제)점(2024.10.24).ver24..xlsx
거제,2024-10-24,11:07:00,15:06:00,11:07~15:06,,2024-10-24 02:07~06:06,2024-10-24 02:07~06:06,4.333,DISTURBED,7.98,2.35,35.1,87.8,CAUTION,-44.88801973306545,-3.7004041989875804,0.45615341091728506,1,nearest,세션전체,정상,배포.지자기(거제)점(2024.10.24).ver24..xlsx
거제,2024-10-24,11:40:00,11:55:00,11:40~11:46,11:50~11:55,2024-10-24 02:40~02:46,2024-10-24 02:50~02:55,2.667,CAUTION,0.1,0.13,0.8,7.3,QUIET,-48.34873282326589,1.1736080135325049,0.9548893415531113,1,nearest,성분별,정상,배포.지자기(거제)점(2024.10.24).ver24..xlsx
거제,2024-10-24,12:31:00,12:52:00,12:31~12:38,12:43~12:52,2024-10-24 03:31~03:38,2024-10-24 03:43~03:52,4.333,DISTURBED,0.31,0.42,12.3,19.2,CAUTION,-58.814431722108566,-1.313102771655798,0.4793593980869314,1,nearest,성분별,정상,배포.지자기(거제)점(2024.10.24).ver24..xlsx
거제,2024-10-24,13:10:00,13:33:00,13:10~13:16,13:24~13:33,2024-10-24 04:10~04:16,2024-10-24 04:24~04:33,4.333,DISTURBED,0.31,0.15,17.0,21.3,CAUTION,-54.692145647481084,-3.908014266638031,-0.8777873837915273,1,nearest,성분별,정상,배포.지자기(거제)점(2024.10.24).ver24..xlsx
거제,2024-10-24,14:07:00,14:29:00,14:07~14:15,14:20~14:29,2024-10-24 05:07~05:15,2024-10-24 05:20~05:29,4.333,DISTURBED,0.07,0.44,5.0,13.9,CAUTION,-31.934095590913785,-5.3701966565850086,-0.08567507666532882,1,nearest,성분별,정상,배포.지자기(거제)점(2024.10.24).ver24..xlsx
거제,2024-10-24,15:00:00,15:16:00,15:00~15:06,15:10~15:16,2024-10-24 06:00~06:06,2024-10-24 06:10~06:16,3.333,DISTURBED,0.28,0.07,5.4,7.1,CAUTION,-34.418560549667745,-4.882120501588982,0.8210268038144458,1,nearest,성분별,정상,배포.지자기(거제)점(2024.10.24).ver24..xlsx
경주,2020-11-17,13:24:00,13:45:00,13:24~13:30,13:35~13:45,,,,미상,,,,,미상,,,,0,-,-,측점 좌표 없음,배포.지자기야장.20.11.17_경주.xlsx
경주,2020-11-17,14:02:00,14:19:00,14:02~14:06,14:12~14:19,,,,미상,,,,,미상,,,,0,-,-,측점 좌표 없음,배포.지자기야장.20.11.17_경주.xlsx
경주,2020-11-17,14:35:00,14:50:00,14:35~14:39,14:43~14:50,,,,미상,,,,,미상,,,,0,-,-,측점 좌표 없음,배포.지자기야장.20.11.17_경주.xlsx
경주,2020-11-18,10:20:00,10:35:00,10:20~10:25,10:29~10:35,,,,미상,,,,,미상,,,,0,-,-,측점 좌표 없음,배포.지자기야장.20.11.17_경주.xlsx
경주,2020-11-18,10:55:00,11:10:00,10:55~10:59,11:05~11:10,,,,미상,,,,,미상,,,,0,-,-,측점 좌표 없음,배포.지자기야장.20.11.17_경주.xlsx
경주,2020-11-18,11:30:00,11:47:00,11:30~11:34,11:38~11:47,,,,미상,,,,,미상,,,,0,-,-,측점 좌표 없음,배포.지자기야장.20.11.17_경주.xlsx
남지,2019-06-24,15:41:00,16:02:00,15:41~15:46,15:55~16:02,2019-06-24 06:41~06:46,2019-06-24 06:55~07:02,0.333,QUIET,0.05,0.19,3.5,4.5,QUIET,4.7916753207100555,-1.8350506132763929,-1.0942796670968995,1,nearest,성분별,정상,남지.거제 지자기 야장 문서.xlsx
남지,2019-06-25,09:45:00,10:02:00,09:45~09:51,09:55~10:02,2019-06-25 00:45~00:51,2019-06-25 00:55~01:02,0.667,QUIET,0.07,0.02,1.3,2.1,QUIET,-23.227272229400114,2.515018380131617,0.1881439055410403,1,nearest,성분별,정상,남지.거제 지자기 야장 문서.xlsx
남지,2019-06-25,10:39:00,10:52:00,10:39~10:43,10:47~10:52,2019-06-25 01:39~01:43,2019-06-25 01:47~01:52,0.667,QUIET,0.2,0.04,0.8,4.3,QUIET,-22.693129461360513,1.1912259591283165,-0.025074683738150798,1,nearest,성분별,정상,남지.거제 지자기 야장 문서.xlsx
미원,2019-05-14,13:24:00,13:49:00,13:24~13:37,13:42~13:49,2019-05-14 04:24~04:37,2019-05-14 04:42~04:49,5.667,DISTURBED,0.14,0.43,16.1,24.4,CAUTION,-12.981499858819006,-3.715195593870364,0.7573016705437924,1,nearest,성분별,정상,2019.5.14~17.미원 야장기록.xlsx
미원,2019-05-14,14:20:00,14:42:00,14:20~14:28,14:33~14:42,2019-05-14 05:20~05:28,2019-05-14 05:33~05:42,5.667,DISTURBED,0.15,0.25,9.4,18.2,CAUTION,-59.42334111627133,-5.554283300737673,4.8774044032963095,1,nearest,성분별,정상,2019.5.14~17.미원 야장기록.xlsx
미원,2019-05-15,10:30:00,10:49:00,10:30~10:38,10:42~10:49,2019-05-15 01:30~01:38,2019-05-15 01:42~01:49,0.667,QUIET,0.23,0.07,3.2,7.3,QUIET,-33.6596647247934,-1.4606505194782198,1.326555893028724,1,nearest,성분별,정상,2019.5.14~17.미원 야장기록.xlsx
미원,2019-05-15,11:11:00,11:28:00,11:11~11:17,11:21~11:28,2019-05-15 02:11~02:17,2019-05-15 02:21~02:28,0.667,QUIET,0.03,0.1,1.1,4.0,QUIET,-30.6507754611157,-2.486469151165364,0.8817335812008518,1,nearest,성분별,정상,2019.5.14~17.미원 야장기록.xlsx
미원,2019-05-15,11:59:00,12:14:00,11:59~12:05,12:07~12:14,2019-05-15 02:59~03:05,2019-05-15 03:07~03:14,1.667,QUIET,0.1,0.06,1.7,2.5,QUIET,-26.128607752136304,-3.2710910659480645,0.48436776970040185,1,nearest,성분별,정상,2019.5.14~17.미원 야장기록.xlsx
미원,2024-05-01,11:40:00,12:02:00,11:40~11:46,11:52~12:02,2024-05-01 02:40~02:46,2024-05-01 02:52~03:02,3.667,DISTURBED,0.25,0.71,9.8,20.1,CAUTION,-24.70518642006209,-1.6604559043355576,-0.5373890605606856,1,nearest,성분별,정상,배포_지자기야장.미원점(24.5.1).ver24.xlsx
미원,2024-05-01,12:20:00,12:40:00,12:20~12:26,12:33~12:40,2024-05-01 03:20~03:26,2024-05-01 03:33~03:40,2.0,QUIET,0.22,0.12,4.6,9.8,QUIET,-12.741347065195441,-3.0966359921914814,-1.2184911808689725,1,nearest,성분별,정상,배포_지자기야장.미원점(24.5.1).ver24.xlsx
미원,2024-05-01,13:02:00,13:29:00,13:02~13:11,13:21~13:29,2024-05-01 04:02~04:11,2024-05-01 04:21~04:29,2.0,QUIET,0.42,0.03,4.0,10.6,QUIET,-3.7092998190782964,-4.218109557639237,-1.5187767974192063,1,nearest,성분별,정상,배포_지자기야장.미원점(24.5.1).ver24.xlsx
미원,2024-05-01,13:51:00,14:13:00,13:51~14:00,14:06~14:13,2024-05-01 04:51~05:00,2024-05-01 05:06~05:13,2.0,QUIET,0.05,0.07,4.1,4.8,QUIET,1.2818124505502055,-4.847970959237199,-1.635341482499483,1,nearest,성분별,정상,배포_지자기야장.미원점(24.5.1).ver24.xlsx
미원,2024-05-01,14:33:00,14:52:00,14:33~14:40,14:45~14:52,2024-05-01 05:33~05:40,2024-05-01 05:45~05:52,2.0,QUIET,0.12,0.16,7.1,12.8,QUIET,9.500973360612988,-4.239555955965332,-1.68629990750761,1,nearest,성분별,정상,배포_지자기야장.미원점(24.5.1).ver24.xlsx
미원,2024-05-01,15:14:00,15:35:00,15:14~15:20,15:29~15:35,2024-05-01 06:14~06:20,2024-05-01 06:29~06:35,1.667,QUIET,0.09,0.1,7.4,13.3,QUIET,6.049568849251955,-3.4931892041815353,-1.4858145638934617,1,nearest,성분별,정상,배포_지자기야장.미원점(24.5.1).ver24.xlsx
부안,2020-09-15,12:40:00,13:10:00,12:40~12:47,13:01~13:10,,,,미상,,,,,미상,,,,0,-,-,측점 좌표 없음,2020.09.15_부안_지자기야장.xlsx
부안,2020-09-15,12:40:00,12:47:00,12:40~12:47,,,,,미상,,,,,미상,,,,0,-,-,측점 좌표 없음,2020.09.15_부안_지자기야장.xlsx
부안,2020-11-03,11:11:00,11:33:00,11:11~11:17,11:26~11:33,,,,미상,,,,,미상,,,,0,-,-,측점 좌표 없음,배포.20.11.03_부안_야장(6).xlsx
부안,2020-11-03,11:45:00,12:03:00,11:45~11:51,11:55~12:03,,,,미상,,,,,미상,,,,0,-,-,측점 좌표 없음,배포.20.11.03_부안_야장(6).xlsx
부안,2020-11-03,12:15:00,12:30:00,12:15~12:19,12:23~12:30,,,,미상,,,,,미상,,,,0,-,-,측점 좌표 없음,배포.20.11.03_부안_야장(6).xlsx
부안,2020-11-03,13:02:00,13:20:00,13:02~13:10,13:14~13:20,,,,미상,,,,,미상,,,,0,-,-,측점 좌표 없음,배포.20.11.03_부안_야장(6).xlsx
부안,2020-11-03,13:30:00,13:47:00,13:30~13:36,13:40~13:47,,,,미상,,,,,미상,,,,0,-,-,측점 좌표 없음,배포.20.11.03_부안_야장(6).xlsx
부안,2020-11-03,14:00:00,14:18:00,14:00~14:06,14:10~14:18,,,,미상,,,,,미상,,,,0,-,-,측점 좌표 없음,배포.20.11.03_부안_야장(6).xlsx
부안,2023-11-01,11:36:00,12:01:00,11:36~11:45,11:53~12:01,,,,미상,,,,,미상,,,,0,-,-,측점 좌표 없음,배포.부안.지자기야장.23.10.31.xlsx
부안,2023-11-01,12:15:00,12:31:00,12:15~12:21,12:25~12:31,,,,미상,,,,,미상,,,,0,-,-,측점 좌표 없음,배포.부안.지자기야장.23.10.31.xlsx
부안,2023-11-01,13:03:00,13:22:00,13:03~13:10,13:15~13:22,,,,미상,,,,,미상,,,,0,-,-,측점 좌표 없음,배포.부안.지자기야장.23.10.31.xlsx
부안,2023-11-01,13:40:00,13:56:00,13:40~13:45,13:49~13:56,,,,미상,,,,,미상,,,,0,-,-,측점 좌표 없음,배포.부안.지자기야장.23.10.31.xlsx
부안,2023-11-01,14:15:00,14:35:00,14:15~14:22,14:28~14:35,,,,미상,,,,,미상,,,,0,-,-,측점 좌표 없음,배포.부안.지자기야장.23.10.31.xlsx
부안,2023-11-01,14:40:00,14:58:00,14:40~14:47,14:50~14:58,,,,미상,,,,,미상,,,,0,-,-,측점 좌표 없음,배포.부안.지자기야장.23.10.31.xlsx
부안,2025-11-04,11:26:00,11:55:00,11:26~11:32,11:49~11:55,,,,미상,,,,,미상,,,,0,-,-,측점 좌표 없음,배포.지자기야장(25.11.4).부안점.xlsx
부안,2025-11-04,12:27:00,12:44:00,12:27~12:33,12:38~12:44,,,,미상,,,,,미상,,,,0,-,-,측점 좌표 없음,배포.지자기야장(25.11.4).부안점.xlsx
부안,2025-11-04,13:19:00,13:34:00,13:19~13:24,13:29~13:34,,,,미상,,,,,미상,,,,0,-,-,측점 좌표 없음,배포.지자기야장(25.11.4).부안점.xlsx
부안,2025-11-04,13:59:00,14:21:00,13:59~14:06,14:15~14:21,,,,미상,,,,,미상,,,,0,-,-,측점 좌표 없음,배포.지자기야장(25.11.4).부안점.xlsx
부안,2025-11-04,14:50:00,15:07:00,14:50~14:55,15:02~15:07,,,,미상,,,,,미상,,,,0,-,-,측점 좌표 없음,배포.지자기야장(25.11.4).부안점.xlsx
부안,2025-11-04,15:26:00,15:43:00,15:26~15:31,15:36~15:43,,,,미상,,,,,미상,,,,0,-,-,측점 좌표 없음,배포.지자기야장(25.11.4).부안점.xlsx
상주,2020-10-27,16:26:00,16:45:00,16:26~16:32,16:38~16:45,,,,미상,,,,,미상,,,,0,-,-,관측소 자료 없음,배포.20.10.27_상주_야장(6).xlsx
상주,2020-10-27,17:02:00,17:25:00,17:02~17:10,17:15~17:25,,,,미상,,,,,미상,,,,0,-,-,관측소 자료 없음,배포.20.10.27_상주_야장(6).xlsx
상주,2020-10-27,17:30:00,17:46:00,17:30~17:36,17:40~17:46,,,,미상,,,,,미상,,,,0,-,-,관측소 자료 없음,배포.20.10.27_상주_야장(6).xlsx
상주,2020-10-28,10:57:00,11:16:00,10:57~11:04,11:09~11:16,2020-10-28 01:57~02:04,2020-10-28 02:09~02:16,1.667,QUIET,0.09,0.04,2.6,3.9,QUIET,-16.62265030177514,1.4215191044385784,0.6639899341899325,1,nearest,성분별,정상,배포.20.10.27_상주_야장(6).xlsx
상주,2020-10-28,11:33:00,11:53:00,11:33~11:40,11:43~11:53,2020-10-28 02:33~02:40,2020-10-28 02:43~02:53,1.667,QUIET,0.29,0.08,1.1,7.3,QUIET,-19.320275918093103,0.7433422198428092,0.6141258744845666,1,nearest,성분별,정상,배포.20.10.27_상주_야장(6).xlsx
상주,2020-10-28,12:10:00,12:27:00,12:10~12:16,12:20~12:27,2020-10-28 03:10~03:16,2020-10-28 03:20~03:27,2.667,CAUTION,0.22,0.04,0.6,5.4,QUIET,-19.958247265363752,-0.5853301468772862,0.5148312610692786,1,nearest,성분별,정상,배포.20.10.27_상주_야장(6).xlsx
상주,2023-10-11,11:51:00,12:11:00,11:51~11:57,12:02~12:11,2023-10-11 02:51~02:57,2023-10-11 03:02~03:11,0.667,QUIET,0.25,0.05,1.9,8.0,QUIET,-22.979286087997025,1.3000045168948018,-0.46496666197593417,1,nearest,성분별,정상,상주.지자기야장.23.10.11.xlsx
상주,2023-10-11,12:26:00,12:45:00,12:26~12:31,12:38~12:45,2023-10-11 03:26~03:31,2023-10-11 03:38~03:45,0.667,QUIET,0.22,0.02,1.5,7.7,QUIET,-18.650359651881445,-0.13993451471648322,-0.8853693256751911,1,nearest,성분별,정상,상주.지자기야장.23.10.11.xlsx
상주,2023-10-11,13:15:00,13:34:00,13:15~13:23,13:28~13:34,2023-10-11 04:15~04:23,2023-10-11 04:28~04:34,0.667,QUIET,0.21,0.09,3.5,7.7,QUIET,-15.393730503492407,-2.0962159534431573,-1.2702540421314177,1,nearest,성분별,정상,상주.지자기야장.23.10.11.xlsx
