측점,날짜,시작,종료,Kp,dF,dD_arcmin,상태,파일
함양,2020-11-17,10:05:00,10:17:00,0.0,6.825084739473823,1.8289398161246673,정상,배포_지자기야장.20.11.16_함양.xlsx
함양,2020-11-17,10:31:00,10:42:00,0.0,3.4776519097868004,1.91496493445054,정상,배포_지자기야장.20.11.16_함양.xlsx
함양,2023-09-13,10:22:00,10:40:00,4.667,-50.31835584602959,-2.942679076384484,정상,함양.지자기야장.23.09.12.xlsx
함양,2023-09-13,10:48:00,11:04:00,4.667,-50.14221613218251,-4.439810519073061,정상,함양.지자기야장.23.09.12.xlsx
함양,2023-09-13,11:15:00,11:38:00,4.667,-47.61326360714156,-6.0841965927894135,정상,함양.지자기야장.23.09.12.xlsx
함양,2023-09-13,11:57:00,12:18:00,4.667,-39.189809102179424,-6.4602604380508275,정상,함양.지자기야장.23.09.12.xlsx
함양,2023-09-13,12:28:00,12:45:00,3.667,-32.74914966447977,-6.920434557871919,정상,함양.지자기야장.23.09.12.xlsx
함양,2023-09-13,12:57:00,13:14:00,3.667,-32.18631465829094,-7.250152608013315,정상,함양.지자기야장.23.09.12.xlsx
함양,2025-10-29,11:28:00,11:46:00,2.333,-27.68340347629419,-0.11153470443953958,정상,배포.지자기야장(25.10.30.).함양점.xlsx
함양,2025-10-29,12:09:00,12:26:00,2.667,-35.15178504445794,-1.5585393190397965,정상,배포.지자기야장(25.10.30.).함양점.xlsx
함양,2025-10-29,13:10:00,13:25:00,2.667,-25.964235459869087,-4.228969215284334,정상,배포.지자기야장(25.10.30.).함양점.xlsx
함양,2025-10-29,13:58:00,14:15:00,2.667,-16.982821087396587,-4.381245009009137,정상,배포.지자기야장(25.10.30.).함양점.xlsx
함양,2025-10-29,14:45:00,15:01:00,2.667,-13.696315589819278,-3.532834835382636,정상,배포.지자기야장(25.10.30.).함양점.xlsx
함양,2025-10-29,15:29:00,15:44:00,3.333,-17.530350362532772,-2.4024790868118813,정상,배포.지자기야장(25.10.30.).함양점.xlsx
