측점,날짜,시작,종료,Kp,dF,dD_arcmin,상태,파일
미원,2024-05-01,12:20:00,12:40:00,2.0,-10.967390806916228,-3.5141725544055524,정상,배포_지자기야장.미원점(24.5.1).ver24.xlsx
미원,2024-05-01,13:02:00,13:29:00,2.0,-1.9023952713469043,-4.518630673779843,정상,배포_지자기야장.미원점(24.5.1).ver24.xlsx
미원,2024-05-01,13:51:00,14:13:00,2.0,3.006270432699239,-4.814281782942904,정상,배포_지자기야장.미원점(24.5.1).ver24.xlsx
미원,2024-05-01,14:33:00,14:52:00,2.0,10.379266089650628,-4.165310483584357,정상,배포_지자기야장.미원점(24.5.1).ver24.xlsx
미원,2024-05-01,15:14:00,15:35:00,1.667,8.073366214601265,-3.400210193408368,정상,배포_지자기야장.미원점(24.5.1).ver24.xlsx
부안,2020-09-15,12:40:00,13:10:00,2.0,-15.453582449248643,-1.9079048577097126,정상,2020.09.15_부안_지자기야장.xlsx
부안,2020-09-15,12:40:00,12:47:00,2.0,-15.409013030068309,-1.8808495067087738,정상,2020.09.15_부안_지자기야장.xlsx
부안,2020-11-03,11:11:00,11:33:00,1.667,-17.0928892497177,0.896672567397435,정상,배포.20.11.03_부안_야장(6).xlsx
부안,2020-11-03,11:45:00,12:03:00,1.667,-19.402377632897696,-0.0021381253452589914,정상,배포.20.11.03_부안_야장(6).xlsx
부안,2020-11-03,12:15:00,12:30:00,0.0,-20.4965291016415,-1.0108547018784202,정상,배포.20.11.03_부안_야장(6).xlsx
부안,2020-11-03,13:02:00,13:20:00,0.0,-15.573924678763433,-2.424246175015833,정상,배포.20.11.03_부안_야장(6).xlsx
부안,2020-11-03,13:30:00,13:47:00,0.0,-11.263547732996813,-2.713428424247658,정상,배포.20.11.03_부안_야장(6).xlsx
부안,2020-11-03,14:00:00,14:18:00,0.0,-5.020741855609231,-2.4484576068493173,정상,배포.20.11.03_부안_야장(6).xlsx
부안,2023-11-01,11:36:00,12:01:00,1.667,-29.991302619993803,0.6584413884938227,정상,배포.부안.지자기야장.23.10.31.xlsx
부안,2023-11-01,12:15:00,12:31:00,2.667,-33.55036727840343,-1.3406615609647836,정상,배포.부안.지자기야장.23.10.31.xlsx
부안,2023-11-01,13:03:00,13:22:00,2.667,-24.85560647325474,-3.146175588826244,정상,배포.부안.지자기야장.23.10.31.xlsx
부안,2023-11-01,13:40:00,13:56:00,2.667,-16.81226844012417,-3.5029401226402688,정상,배포.부안.지자기야장.23.10.31.xlsx
부안,2023-11-01,14:15:00,14:35:00,2.667,-9.606214613391785,-3.2777191438375453,정상,배포.부안.지자기야장.23.10.31.xlsx
부안,2023-11-01,14:40:00,14:58:00,2.667,-5.784367759319139,-3.0075498206285074,정상,배포.부안.지자기야장.23.10.31.xlsx
부안,2025-11-04,11:26:00,11:55:00,,,,CYG 자료 없음,배포.지자기야장(25.11.4).부안점.xlsx
부안,2025-11-04,12:27:00,12:44:00,,,,CYG 자료 없음,배포.지자기야장(25.11.4).부안점.xlsx
부안,2025-11-04,13:19:00,13:34:00,,,,CYG 자료 없음,배포.지자기야장(25.11.4).부안점.xlsx
부안,2025-11-04,13:59:00,14:21:00,,,,CYG 자료 없음,배포.지자기야장(25.11.4).부안점.xlsx
부안,2025-11-04,14:50:00,15:07:00,,,,CYG 자료 없음,배포.지자기야장(25.11.4).부안점.xlsx
부안,2025-11-04,15:26:00,15:43:00,,,,CYG 자료 없음,배포.지자기야장(25.11.4).부안점.xlsx
상주,2020-10-27,16:26:00,16:45:00,,,,CYG 자료 없음,배포.20.10.27_상주_야장(6).xlsx
상주,2020-10-27,17:02:00,17:25:00,,,,CYG 자료 없음,배포.20.10.27_상주_야장(6).xlsx
상주,2020-10-27,17:30:00,17:46:00,,,,CYG 자료 없음,배포.20.10.27_상주_야장(6).xlsx
상주,2020-10-28,10:57:00,11:16:00,1.667,-16.91927100562316,1.276671450668614,정상,배포.20.10.27_상주_야장(6).xlsx
상주,2020-10-28,11:33:00,11:53:00,1.667,-19.59812465993309,0.4212902124532587,정상,배포.20.10.27_상주_야장(6).xlsx
상주,2020-10-28,12:10:00,12:27:00,2.667,-20.208022014034213,-0.8318867317584736,정상,배포.20.10.27_상주_야장(6).xlsx
상주,2023-10-11,11:51:00,12:11:00,0.0,72.23808148119133,-9.211631027744302,정상,상주.지자기야장.23.10.11.xlsx
상주,2023-10-11,12:26:00,12:45:00,0.667,76.37335666777653,-10.667788844178471,정상,상주.지자기야장.23.10.11.xlsx
