측점,날짜,시작,종료,편각구간,복각구간,D_utc,I_utc,Kp,Kp_flag,관측소_D변동_분,관측소_I변동_분,관측소_F변동_nT,관측소_dB_nT,QC,dF,dD_arcmin,dI_arcmin,n_station,보간,창,상태,파일
경주,2020-11-17,13:24:00,13:45:00,13:24~13:30,13:35~13:45,,,,미상,,,,,미상,,,,0,-,-,측점 좌표 없음,배포.지자기야장.20.11.17_경주.xlsx
경주,2020-11-17,14:02:00,14:19:00,14:02~14:06,14:12~14:19,,,,미상,,,,,미상,,,,0,-,-,측점 좌표 없음,배포.지자기야장.20.11.17_경주.xlsx
경주,2020-11-17,14:35:00,14:50:00,14:35~14:39,14:43~14:50,,,,미상,,,,,미상,,,,0,-,-,측점 좌표 없음,배포.지자기야장.20.11.17_경주.xlsx
경주,2020-11-18,10:20:00,10:35:00,10:20~10:25,10:29~10:35,,,,미상,,,,,미상,,,,0,-,-,측점 좌표 없음,배포.지자기야장.20.11.17_경주.xlsx
경주,2020-11-18,10:55:00,11:10:00,10:55~10:59,11:05~11:10,,,,미상,,,,,미상,,,,0,-,-,측점 좌표 없음,배포.지자기야장.20.11.17_경주.xlsx
경주,2020-11-18,11:30:00,11:47:00,11:30~11:34,11:38~11:47,,,,미상,,,,,미상,,,,0,-,-,측점 좌표 없음,배포.지자기야장.20.11.17_경주.xlsx
남지,2019-06-24,15:41:00,16:02:00,15:41~15:46,15:55~16:02,2019-06-24 06:41~06:46,2019-06-24 06:55~07:02,0.333,QUIET,0.05,0.19,3.5,4.5,QUIET,-47.780695604167704,0.9563918143692536,-3.731493052283151,3,plane,성분별,정상,남지.거제 지자기 야장 문서.xlsx
남지,2019-06-25,09:45:00,10:02:00,09:45~09:51,09:55~10:02,2019-06-25 00:45~00:51,2019-06-25 00:55~01:02,0.667,QUIET,0.07,0.04,1.3,2.1,QUIET,-188.7319361068876,23.55469667643108,3.346658315432642,3,plane,성분별,정상,남지.거제 지자기 야장 문서.xlsx
남지,2019-06-25,10:39:00,10:52:00,10:39~10:43,10:47~10:52,2019-06-25 01:39~01:43,2019-06-25 01:47~01:52,0.667,QUIET,0.2,0.05,1.5,4.3,QUIET,-172.0295138794536,16.999417342561088,1.58610469887747,3,plane,성분별,정상,남지.거제 지자기 야장 문서.xlsx
미원,2019-05-14,13:24:00,13:49:00,13:24~13:37,13:42~13:49,2019-05-14 04:24~04:37,2019-05-14 04:42~04:49,5.667,DISTURBED,0.19,0.43,16.1,24.4,CAUTION,-11.96981423960824,-3.665323232800394,0.7315052478871926,3,plane,성분별,정상,2019.5.14~17.미원 야장기록.xlsx
미원,2019-05-14,14:20:00,14:42:00,14:20~14:28,14:33~14:42,2019-05-14 05:20~05:28,2019-05-14 05:33~05:42,5.667,DISTURBED,0.15,0.25,9.4,18.2,CAUTION,-57.64536411491281,-5.479956906783093,4.7673897938223435,3,plane,성분별,정상,2019.5.14~17.미원 야장기록.xlsx
미원,2019-05-15,10:30:00,10:49:00,10:30~10:38,10:42~10:49,2019-05-15 01:30~01:38,2019-05-15 01:42~01:49,0.667,QUIET,0.23,0.07,3.2,7.3,QUIET,-32.75644955626922,-1.4063222506846917,1.2484023545336727,3,plane,성분별,정상,2019.5.14~17.미원 야장기록.xlsx
