측점,날짜,시작,종료,편각구간,복각구간,D_utc,I_utc,Kp,Kp_flag,관측소_D변동_분,관측소_I변동_분,관측소_F변동_nT,관측소_dB_nT,QC,dF,dD_arcmin,dI_arcmin,n_station,보간,창,상태,파일
거제,2019-06-18,16:10:00,16:27:00,16:10~16:15,16:20~16:27,2019-06-18 07:10~07:15,2019-06-18 07:20~07:27,0.333,QUIET,0.16,0.14,2.5,5.7,QUIET,11.44363511975098,-2.3253731062025826,-0.8023638345324418,4,idw,성분별,정상,남지.거제 지자기 야장 문서.xlsx
거제,2019-06-18,16:45:00,17:01:00,16:45~16:52,16:55~17:01,2019-06-18 07:45~07:52,2019-06-18 07:55~08:01,0.333,QUIET,0.13,0.05,1.3,3.0,QUIET,11.071704586953274,-1.981058512556592,-0.6754454472742168,4,idw,성분별,정상,남지.거제 지자기 야장 문서.xlsx
거제,2019-06-19,11:01:00,11:20:00,11:01~11:10,11:15~11:20,2019-06-19 02:01~02:10,2019-06-19 02:15~02:20,0.667,QUIET,0.43,0.06,2.0,7.0,QUIET,3.7374772017792566,-1.161608063235007,-0.4215906857378703,4,idw,성분별,정상,남지.거제 지자기 야장 문서.xlsx
거제,2019-06-19,11:42:00,12:04:00,11:42~11:48,11:58~12:04,2019-06-19 02:42~02:48,2019-06-19 02:58~03:04,0.667,QUIET,0.23,0.07,1.4,7.8,QUIET,3.418197617153055,-1.840329944279488,-0.539321342655867,4,idw,성분별,정상,남지.거제 지자기 야장 문서.xlsx
거제,2024-10-24,11:07:00,11:25:00,11:07~11:13,11:15~11:25,2024-10-24 02:07~02:13,2024-10-24 02:15~02:25,2.667,CAUTION,0.05,0.07,5.5,7.5,QUIET,-8.520914998392982,-1.8207735216933614,0.4498195532761064,4,idw,성분별,정상,배포.지자기(거제)점(2024.10.24).ver24..xlsx
거제,2024-10-24,11:07:00,15:06:00,11:07~15:06,,2024-10-24 02:07~06:06,2024-10-24 02:07~06:06,4.333,DISTURBED,7.98,2.35,35.1,87.8,CAUTION,-6.353405541842221,-3.336862621754821,-0.09271174038455801,4,idw,세션전체,정상,배포.지자기(거제)점(2024.10.24).ver24..xlsx
거제,2024-10-24,11:40:00,11:55:00,11:40~11:46,11:50~11:55,2024-10-24 02:40~02:46,2024-10-24 02:50~02:55,2.667,CAUTION,0.1,0.13,0.8,7.3,QUIET,-11.224119314938434,-2.0644636769855995,0.3424719311658583,4,idw,성분별,정상,배포.지자기(거제)점(2024.10.24).ver24..xlsx
거제,2024-10-24,12:31:00,12:52:00,12:31~12:38,12:43~12:52,2024-10-24 03:31~03:38,2024-10-24 03:43~03:52,4.333,DISTURBED,0.31,0.42,12.3,19.2,CAUTION,-12.474655341502512,-2.6521865299470035,0.024164401911454553,4,idw,성분별,정상,배포.지자기(거제)점(2024.10.24).ver24..xlsx
거제,2024-10-24,13:10:00,13:33:00,13:10~13:16,13:24~13:33,2024-10-24 04:10~04:16,2024-10-24 04:24~04:33,4.333,DISTURBED,0.31,0.15,17.0,21.3,CAUTION,-8.678482355171582,-3.3569100204065814,-0.6000825018977443,4,idw,성분별,정상,배포.지자기(거제)점(2024.10.24).ver24..xlsx
거제,2024-10-24,14:07:00,14:29:00,14:07~14:15,14:20~14:29,2024-10-24 05:07~05:15,2024-10-24 05:20~05:29,4.333,DISTURBED,0.07,0.44,5.0,13.9,CAUTION,-0.8707144905638415,-3.7528088399001227,-0.3590434505796758,4,idw,성분별,정상,배포.지자기(거제)점(2024.10.24).ver24..xlsx
