측점,날짜,시작,종료,편각구간,복각구간,D_utc,I_utc,Kp,Kp_flag,관측소_변동폭_nT,QC,dF,dD_arcmin,dI_arcmin,n_station,보간,창,상태,파일
거제,2019-06-19,11:01:00,11:20:00,11:01~11:10,11:15~11:20,2019-06-19 02:01~02:10,2019-06-19 02:15~02:20,0.667,QUIET,2.2,QUIET,58.968352056341246,-5.110947442668912,-1.526110047760068,4,plane,성분별,정상,남지.거제 지자기 야장 문서.xlsx
거제,2019-06-19,11:42:00,12:04:00,11:42~11:48,11:58~12:04,2019-06-19 02:42~02:48,2019-06-19 02:58~03:04,0.667,QUIET,2.3,QUIET,59.92491745067673,-4.176643722492502,-1.2251698677676355,4,plane,성분별,정상,남지.거제 지자기 야장 문서.xlsx
거제,2024-10-24,11:07:00,11:25:00,11:07~11:13,11:15~11:25,2024-10-24 02:07~02:13,2024-10-24 02:15~02:25,2.667,CAUTION,2.5,QUIET,55.22318812253798,-9.454105851590395,-0.9181399256034346,4,plane,성분별,정상,배포.지자기(거제)점(2024.10.24).ver24..xlsx
거제,2024-10-24,11:07:00,15:06:00,11:07~15:06,,2024-10-24 02:07~06:06,2024-10-24 02:07~06:06,2.667,CAUTION,31.7,CAUTION,72.24003138631087,-2.920075214858078,-1.0585202434334577,4,plane,세션전체,정상,배포.지자기(거제)점(2024.10.24).ver24..xlsx
거제,2024-10-24,11:40:00,11:55:00,11:40~11:46,11:50~11:55,2024-10-24 02:40~02:46,2024-10-24 02:50~02:55,2.667,CAUTION,3.8,QUIET,64.55160307869664,-8.163801687333196,-0.7688082721366014,4,plane,성분별,정상,배포.지자기(거제)점(2024.10.24).ver24..xlsx
거제,2024-10-24,12:31:00,12:52:00,12:31~12:38,12:43~12:52,2024-10-24 03:31~03:38,2024-10-24 03:43~03:52,4.333,DISTURBED,11.3,CAUTION,80.37350305440486,-5.314683702402843,-0.767015687108898,4,plane,성분별,정상,배포.지자기(거제)점(2024.10.24).ver24..xlsx
거제,2024-10-24,13:10:00,13:33:00,13:10~13:16,13:24~13:33,2024-10-24 04:10~04:16,2024-10-24 04:24~04:33,4.333,DISTURBED,14.5,CAUTION,83.72998116090457,-2.6050518288307645,-0.05511109419182447,4,plane,성분별,정상,배포.지자기(거제)점(2024.10.24).ver24..xlsx
거제,2024-10-24,14:07:00,14:29:00,14:07~14:15,14:20~14:29,2024-10-24 05:07~05:15,2024-10-24 05:20~05:29,4.333,DISTURBED,13.2,CAUTION,64.26609039544564,-1.0736009044609138,-0.8244851327764015,4,plane,성분별,정상,배포.지자기(거제)점(2024.10.24).ver24..xlsx
거제,2024-10-24,15:00:00,15:16:00,15:00~15:06,15:10~15:16,2024-10-24 06:00~06:06,2024-10-24 06:10~06:16,3.333,DISTURBED,5.4,CAUTION,61.91604068309971,-1.4622686848853115,-1.3107855349586814,4,plane,성분별,정상,배포.지자기(거제)점(2024.10.24).ver24..xlsx
경주,2020-11-17,13:24:00,13:45:00,13:24~13:30,13:35~13:45,,,,미상,,미상,,,,0,-,-,측점 좌표 없음,배포.지자기야장.20.11.17_경주.xlsx
경주,2020-11-17,14:02:00,14:19:00,14:02~14:06,14:12~14:19,,,,미상,,미상,,,,0,-,-,측점 좌표 없음,배포.지자기야장.20.11.17_경주.xlsx
경주,2020-11-17,14:35:00,14:50:00,14:35~14:39,14:43~14:50,,,,미상,,미상,,,,0,-,-,측점 좌표 없음,배포.지자기야장.20.11.17_경주.xlsx
경주,2020-11-18,10:20:00,10:35:00,10:20~10:25,10:29~10:35,,,,미상,,미상,,,,0,-,-,측점 좌표 없음,배포.지자기야장.20.11.17_경주.xlsx
경주,2020-11-18,10:55:00,11:10:00,10:55~10:59,11:05~11:10,,,,미상,,미상,,,,0,-,-,측점 좌표 없음,배포.지자기야장.20.11.17_경주.xlsx
경주,2020-11-18,11:30:00,11:47:00,11:30~11:34,11:38~11:47,,,,미상,,미상,,,,0,-,-,측점 좌표 없음,배포.지자기야장.20.11.17_경주.xlsx
남지,2019-06-24,15:41:00,16:02:00,15:41~15:46,15:55~16:02,2019-06-24 06:41~06:46,2019-06-24 06:55~07:02,0.333,QUIET,3.7,QUIET,28.457491002380266,-1.8456713539575187,0.1519190889969794,4,plane,성분별,정상,남지.거제 지자기 야장 문서.xlsx
남지,2019-06-25,09:45:00,10:02:00,09:45~09:51,09:55~10:02,2019-06-25 00:45~00:51,2019-06-25 00:55~01:02,0.667,QUIET,0.9,QUIET,46.57742687994323,-4.669826738817021,-1.4473469495793583,4,plane,성분별,정상,남지.거제 지자기 야장 문서.xlsx
남지,2019-06-25,10:39:00,10:52:00,10:39~10:43,10:47~10:52,2019-06-25 01:39~01:43,2019-06-25 01:47~01:52,0.667,QUIET,2.0,QUIET,41.21262473875686,-4.072210944526849,-0.897107541709942,4,plane,성분별,정상,남지.거제 지자기 야장 문서.xlsx
미원,2019-05-14,13:24:00,13:49:00,13:24~13:37,13:42~13:49,,,,미상,,미상,,,,0,-,-,측점 좌표 없음,2019.5.14~17.미원 야장기록.xlsx
미원,2019-05-14,14:20:00,14:42:00,14:20~14:28,14:33~14:42,,,,미상,,미상,,,,0,-,-,측점 좌표 없음,2019.5.14~17.미원 야장기록.xlsx
미원,2019-05-15,10:30:00,10:49:00,10:30~10:38,10:42~10:49,,,,미상,,미상,,,,0,-,-,측점 좌표 없음,2019.5.14~17.미원 야장기록.xlsx
미원,2019-05-15,11:11:00,11:28:00,11:11~11:17,11:21~11:28,,,,미상,,미상,,,,0,-,-,측점 좌표 없음,2019.5.14~17.미원 야장기록.xlsx
미원,2019-05-15,11:59:00,12:14:00,11:59~12:05,12:07~12:14,,,,미상,,미상,,,,0,-,-,측점 좌표 없음,2019.5.14~17.미원 야장기록.xlsx
미원,2024-05-01,11:40:00,12:02:00,11:40~11:46,11:52~12:02,,,,미상,,미상,,,,0,-,-,측점 좌표 없음,배포_지자기야장.미원점(24.5.1).ver24.xlsx
미원,2024-05-01,12:20:00,12:40:00,12:20~12:26,12:33~12:40,,,,미상,,미상,,,,0,-,-,측점 좌표 없음,배포_지자기야장.미원점(24.5.1).ver24.xlsx
미원,2024-05-01,13:02:00,13:29:00,13:02~13:11,13:21~13:29,,,,미상,,미상,,,,0,-,-,측점 좌표 없음,배포_지자기야장.미원점(24.5.1).ver24.xlsx
미원,2024-05-01,13:51:00,14:13:00,13:51~14:00,14:06~14:13,,,,미상,,미상,,,,0,-,-,측점 좌표 없음,배포_지자기야장.미원점(24.5.1).ver24.xlsx
미원,2024-05-01,14:33:00,14:52:00,14:33~14:40,14:45~14:52,,,,미상,,미상,,,,0,-,-,측점 좌표 없음,배포_지자기야장.미원점(24.5.1).ver24.xlsx
미원,2024-05-01,15:14:00,15:35:00,15:14~15:20,15:29~15:35,,,,미상,,미상,,,,0,-,-,측점 좌표 없음,배포_지자기야장.미원점(24.5.1).ver24.xlsx
부안,2020-09-15,12:40:00,13:10:00,12:40~12:47,13:01~13:10,,,,미상,,미상,,,,0,-,-,측점 좌표 없음,2020.09.15_부안_지자기야장.xlsx
부안,2020-09-15,12:40:00,12:47:00,12:40~12:47,,,,,미상,,미상,,,,0,-,-,측점 좌표 없음,2020.09.15_부안_지자기야장.xlsx
부안,2020-11-03,11:11:00,11:33:00,11:11~11:17,11:26~11:33,,,,미상,,미상,,,,0,-,-,측점 좌표 없음,배포.20.11.03_부안_야장(6).xlsx
부안,2020-11-03,11:45:00,12:03:00,11:45~11:51,11:55~12:03,,,,미상,,미상,,,,0,-,-,측점 좌표 없음,배포.20.11.03_부안_야장(6).xlsx
부안,2020-11-03,12:15:00,12:30:00,12:15~12:19,12:23~12:30,,,,미상,,미상,,,,0,-,-,측점 좌표 없음,배포.20.11.03_부안_야장(6).xlsx
부안,2020-11-03,13:02:00,13:20:00,13:02~13:10,13:14~13:20,,,,미상,,미상,,,,0,-,-,측점 좌표 없음,배포.20.11.03_부안_야장(6).xlsx
부안,2020-11-03,13:30:00,13:47:00,13:30~13:36,13:40~13:47,,,,미상,,미상,,,,0,-,-,측점 좌표 없음,배포.20.11.03_부안_야장(6).xlsx
부안,2020-11-03,14:00:00,14:18:00,14:00~14:06,14:10~14:18,,,,미상,,미상,,,,0,-,-,측점 좌표 없음,배포.20.11.03_부안_야장(6).xlsx
부안,2023-11-01,11:36:00,12:01:00,11:36~11:45,11:53~12:01,,,,미상,,미상,,,,0,-,-,측점 좌표 없음,배포.부안.지자기야장.23.10.31.xlsx
부안,2023-11-01,12:15:00,12:31:00,12:15~12:21,12:25~12:31,,,,미상,,미상,,,,0,-,-,측점 좌표 없음,배포.부안.지자기야장.23.10.31.xlsx
부안,2023-11-01,13:03:00,13:22:00,13:03~13:10,13:15~13:22,,,,미상,,미상,,,,0,-,-,측점 좌표 없음,배포.부안.지자기야장.23.10.31.xlsx
부안,2023-11-01,13:40:00,13:56:00,13:40~13:45,13:49~13:56,,,,미상,,미상,,,,0,-,-,측점 좌표 없음,배포.부안.지자기야장.23.10.31.xlsx
부안,2023-11-01,14:15:00,14:35:00,14:15~14:22,14:28~14:35,,,,미상,,미상,,,,0,-,-,측점 좌표 없음,배포.부안.지자기야장.23.10.31.xlsx
부안,2023-11-01,14:40:00,14:58:00,14:40~14:47,14:50~14:58,,,,미상,,미상,,,,0,-,-,측점 좌표 없음,배포.부안.지자기야장.23.10.31.xlsx
부안,2025-11-04,11:26:00,11:55:00,11:26~11:32,11:49~11:55,,,,미상,,미상,,,,0,-,-,측점 좌표 없음,배포.지자기야장(25.11.4).부안점.xlsx
부안,2025-11-04,12:27:00,12:44:00,12:27~12:33,12:38~12:44,,,,미상,,미상,,,,0,-,-,측점 좌표 없음,배포.지자기야장(25.11.4).부안점.xlsx
부안,2025-11-04,13:19:00,13:34:00,13:19~13:24,13:29~13:34,,,,미상,,미상,,,,0,-,-,측점 좌표 없음,배포.지자기야장(25.11.4).부안점.xlsx
부안,2025-11-04,13:59:00,14:21:00,13:59~14:06,14:15~14:21,,,,미상,,미상,,,,0,-,-,측점 좌표 없음,배포.지자기야장(25.11.4).부안점.xlsx
부안,2025-11-04,14:50:00,15:07:00,14:50~14:55,15:02~15:07,,,,미상,,미상,,,,0,-,-,측점 좌표 없음,배포.지자기야장(25.11.4).부안점.xlsx
부안,2025-11-04,15:26:00,15:43:00,15:26~15:31,15:36~15:43,,,,미상,,미상,,,,0,-,-,측점 좌표 없음,배포.지자기야장(25.11.4).부안점.xlsx
상주,2020-10-27,16:26:00,16:45:00,16:26~16:32,16:38~16:45,2020-10-27 07:26~07:32,2020-10-27 07:38~07:45,3.333,DISTURBED,2.1,CAUTION,4.554936356362305,-1.469486593572475,-0.007815937120016336,3,plane,성분별,정상,배포.20.10.27_상주_야장(6).xlsx
