측점,날짜,시작,종료,편각구간,복각구간,관측수,F_nT,위도,경도,이상,파일,시트
경주,2020-11-18,10:55:00,11:10:00,10:55~10:59,11:05~11:10,8,49717.603,35.915277777777774,129.15722222222223,,배포.지자기야장.20.11.17_경주.xlsx,경주11.17야장
경주,2020-11-18,11:30:00,11:47:00,11:30~11:34,11:38~11:47,8,49717.603,35.915277777777774,129.15722222222223,,배포.지자기야장.20.11.17_경주.xlsx,경주11.17야장
남지,2019-06-24,15:41:00,16:02:00,15:41~15:46,15:55~16:02,8,49506.378,35.436166666666665,128.47383333333335,,남지.거제 지자기 야장 문서.xlsx,남지.야장출력
남지,2019-06-25,09:45:00,10:02:00,09:45~09:51,09:55~10:02,7,49469.466,35.436166666666665,128.47383333333335,,남지.거제 지자기 야장 문서.xlsx,남지.야장출력
남지,2019-06-25,10:39:00,10:52:00,10:39~10:43,10:47~10:52,8,49469.466,35.436166666666665,128.47383333333335,,남지.거제 지자기 야장 문서.xlsx,남지.야장출력
미원,2019-05-14,13:24:00,13:49:00,13:24~13:37,13:42~13:49,8,50567.602,36.72499217,127.5862252,,2019.5.14~17.미원 야장기록.xlsx,미원야장출력
미원,2019-05-14,14:20:00,14:42:00,14:20~14:28,14:33~14:42,8,50567.602,36.72499217,127.5862252,,2019.5.14~17.미원 야장기록.xlsx,미원야장출력
미원,2019-05-15,10:30:00,10:49:00,10:30~10:38,10:42~10:49,7,50536.487,36.72499217,127.5862252,,2019.5.14~17.미원 야장기록.xlsx,미원야장출력
미원,2019-05-15,11:11:00,11:28:00,11:11~11:17,11:21~11:28,8,50536.487,36.72499217,127.5862252,,2019.5.14~17.미원 야장기록.xlsx,미원야장출력
미원,2019-05-15,11:59:00,12:14:00,11:59~12:05,12:07~12:14,8,50536.487,36.72499217,127.5862252,,2019.5.14~17.미원 야장기록.xlsx,미원야장출력
미원,2024-05-01,11:40:00,12:02:00,11:40~11:46,11:52~12:02,8,50689.02,36.72502872222223,127.58622902777778,,배포_지자기야장.미원점(24.5.1).ver24.xlsx,미원지자기야장
미원,2024-05-01,12:20:00,12:40:00,12:20~12:26,12:33~12:40,8,50701.37,36.72502872222223,127.58622902777778,,배포_지자기야장.미원점(24.5.1).ver24.xlsx,미원지자기야장
미원,2024-05-01,13:02:00,13:29:00,13:02~13:11,13:21~13:29,8,50710.05,36.72502872222223,127.58622902777778,,배포_지자기야장.미원점(24.5.1).ver24.xlsx,미원지자기야장
미원,2024-05-01,13:51:00,14:13:00,13:51~14:00,14:06~14:13,8,50714.7,36.72502872222223,127.58622902777778,,배포_지자기야장.미원점(24.5.1).ver24.xlsx,미원지자기야장
미원,2024-05-01,14:33:00,14:52:00,14:33~14:40,14:45~14:52,8,50721.55,36.72502872222223,127.58622902777778,,배포_지자기야장.미원점(24.5.1).ver24.xlsx,미원지자기야장
미원,2024-05-01,15:14:00,15:35:00,15:14~15:20,15:29~15:35,8,50718.92,36.72502872222223,127.58622902777778,,배포_지자기야장.미원점(24.5.1).ver24.xlsx,미원지자기야장
부안,2020-09-15,12:40:00,13:10:00,12:40~12:47,13:01~13:10,8,50503.0,35.587746583333335,126.71615008333333,,2020.09.15_부안_지자기야장.xlsx,간편야장출력
부안,2020-09-15,12:40:00,12:47:00,12:40~12:47,,4,,35.587746583333335,126.71615008333333,,2020.09.15_부안_지자기야장.xlsx,간편야장출력
부안,2020-11-03,11:11:00,11:33:00,11:11~11:17,11:26~11:33,8,50508.414,35.58774675,126.71615016666667,,배포.20.11.03_부안_야장(6).xlsx,간편야장출력
부안,2020-11-03,11:45:00,12:03:00,11:45~11:51,11:55~12:03,8,50508.414,35.58774675,126.71615016666667,,배포.20.11.03_부안_야장(6).xlsx,간편야장출력
부안,2020-11-03,12:15:00,12:30:00,12:15~12:19,12:23~12:30,8,50508.414,35.58774675,126.71615016666667,,배포.20.11.03_부안_야장(6).xlsx,간편야장출력
부안,2020-11-03,13:02:00,13:20:00,13:02~13:10,13:14~13:20,8,50508.414,35.58774675,126.71615016666667,,배포.20.11.03_부안_야장(6).xlsx,간편야장출력
부안,2020-11-03,13:30:00,13:47:00,13:30~13:36,13:40~13:47,8,50508.414,35.58774675,126.71615016666667,,배포.20.11.03_부안_야장(6).xlsx,간편야장출력
부안,2020-11-03,14:00:00,14:18:00,14:00~14:06,14:10~14:18,8,50508.414,35.58774675,126.71615016666667,,배포.20.11.03_부안_야장(6).xlsx,간편야장출력
부안,2023-11-01,11:36:00,12:01:00,11:36~11:45,11:53~12:01,8,50583.55,35.58774675,126.71615016666667,,배포.부안.지자기야장.23.10.31.xlsx,부안
부안,2023-11-01,12:15:00,12:31:00,12:15~12:21,12:25~12:31,8,50599.73,35.58774675,126.71615016666667,,배포.부안.지자기야장.23.10.31.xlsx,부안
부안,2023-11-01,13:03:00,13:22:00,13:03~13:10,13:15~13:22,8,50609.75,35.58774675,126.71615016666667,,배포.부안.지자기야장.23.10.31.xlsx,부안
부안,2023-11-01,13:40:00,13:56:00,13:40~13:45,13:49~13:56,8,50617.88,35.58774675,126.71615016666667,,배포.부안.지자기야장.23.10.31.xlsx,부안
부안,2023-11-01,14:15:00,14:35:00,14:15~14:22,14:28~14:35,8,50617.88,35.58774675,126.71615016666667,,배포.부안.지자기야장.23.10.31.xlsx,부안
부안,2023-11-01,14:40:00,14:58:00,14:40~14:47,14:50~14:58,7,50617.88,35.58774675,126.71615016666667,,배포.부안.지자기야장.23.10.31.xlsx,부안
부안,2025-11-04,11:26:00,11:55:00,11:26~11:32,11:49~11:55,8,50680.57,35.58774694444445,126.71615038888889,,배포.지자기야장(25.11.4).부안점.xlsx,25.11.4.부안야장
부안,2025-11-04,12:27:00,12:44:00,12:27~12:33,12:38~12:44,8,50682.94,35.58774694444445,126.71615038888889,,배포.지자기야장(25.11.4).부안점.xlsx,25.11.4.부안야장
부안,2025-11-04,13:19:00,13:34:00,13:19~13:24,13:29~13:34,8,50677.61,35.58774694444445,126.71615038888889,,배포.지자기야장(25.11.4).부안점.xlsx,25.11.4.부안야장
부안,2025-11-04,13:59:00,14:21:00,13:59~14:06,14:15~14:21,8,50678.61,35.58774694444445,126.71615038888889,,배포.지자기야장(25.11.4).부안점.xlsx,25.11.4.부안야장
부안,2025-11-04,14:50:00,15:07:00,14:50~14:55,15:02~15:07,8,50673.8,35.58774694444445,126.71615038888889,,배포.지자기야장(25.11.4).부안점.xlsx,25.11.4.부안야장
부안,2025-11-04,15:26:00,15:43:00,15:26~15:31,15:36~15:43,8,50675.26,35.58774694444445,126.71615038888889,,배포.지자기야장(25.11.4).부안점.xlsx,25.11.4.부안야장
상주,2020-10-27,16:26:00,16:45:00,16:26~16:32,16:38~16:45,8,50454.501,36.35528847222222,128.11048144444445,,배포.20.10.27_상주_야장(6).xlsx,간편야장출력
상주,2020-10-27,17:02:00,17:25:00,17:02~17:10,17:15~17:25,7,50454.501,36.35528847222222,128.11048144444445,,배포.20.10.27_상주_야장(6).xlsx,간편야장출력
상주,2020-10-27,17:30:00,17:46:00,17:30~17:36,17:40~17:46,8,50454.501,36.35528847222222,128.11048144444445,,배포.20.10.27_상주_야장(6).xlsx,간편야장출력
상주,2020-10-28,10:57:00,11:16:00,10:57~11:04,11:09~11:16,7,50450.988,36.35528847222222,128.11048144444445,,배포.20.10.27_상주_야장(6).xlsx,간편야장출력
상주,2020-10-28,11:33:00,11:53:00,11:33~11:40,11:43~11:53,7,50450.988,36.35528847222222,128.11048144444445,,배포.20.10.27_상주_야장(6).xlsx,간편야장출력
상주,2020-10-28,12:10:00,12:27:00,12:10~12:16,12:20~12:27,8,50450.988,36.35528847222222,128.11048144444445,,배포.20.10.27_상주_야장(6).xlsx,간편야장출력
상주,2023-10-11,11:51:00,12:11:00,11:51~11:57,12:02~12:11,8,50530.533,36.35528841666667,128.11048069444445,,상주.지자기야장.23.10.11.xlsx,간편야장출력
상주,2023-10-11,12:26:00,12:45:00,12:26~12:31,12:38~12:45,8,50536.027,36.35528841666667,128.11048069444445,,상주.지자기야장.23.10.11.xlsx,간편야장출력
상주,2023-10-11,13:15:00,13:34:00,13:15~13:23,13:28~13:34,8,50539.353,36.35528841666667,128.11048069444445,,상주.지자기야장.23.10.11.xlsx,간편야장출력
상주,2023-10-11,14:04:00,14:24:00,14:04~14:11,14:16~14:24,8,50547.858,36.35528841666667,128.11048069444445,,상주.지자기야장.23.10.11.xlsx,간편야장출력
상주,2023-10-11,14:40:00,14:56:00,14:40~14:47,14:50~14:56,8,50538.443,36.35528841666667,128.11048069444445,,상주.지자기야장.23.10.11.xlsx,간편야장출력
상주,2023-10-11,15:10:00,15:24:00,15:10~15:15,15:18~15:24,8,50538.443,36.35528841666667,128.11048069444445,,상주.지자기야장.23.10.11.xlsx,간편야장출력
상주,2025-09-24,10:30:00,10:51:00,10:30~10:35,10:45~10:51,8,50553.83,36.35528841666667,128.11048069444445,,배포.지자기야장(25.9.25).상주점.ver.xlsx,25.9.24상주점
상주,2025-09-24,11:04:00,11:19:00,11:04~11:09,11:13~11:19,8,50547.51,36.35528841666667,128.11048069444445,,배포.지자기야장(25.9.25).상주점.ver.xlsx,25.9.24상주점
상주,2025-09-24,11:44:00,12:02:00,11:44~11:50,11:56~12:02,8,50543.06,36.35528841666667,128.11048069444445,,배포.지자기야장(25.9.25).상주점.ver.xlsx,25.9.24상주점
상주,2025-09-24,12:36:00,12:53:00,12:36~12:42,12:47~12:53,8,50552.34,36.35528841666667,128.11048069444445,,배포.지자기야장(25.9.25).상주점.ver.xlsx,25.9.24상주점
상주,2025-09-24,13:34:00,13:49:00,13:34~13:39,13:43~13:49,7,50571.02,36.35528841666667,128.11048069444445,,배포.지자기야장(25.9.25).상주점.ver.xlsx,25.9.24상주점
상주,2025-09-24,14:32:00,14:46:00,14:32~14:36,14:41~14:46,8,50592.29,36.35528841666667,128.11048069444445,,배포.지자기야장(25.9.25).상주점.ver.xlsx,25.9.24상주점
성산,2019-09-18,,,,,0,,,,,2019.9.18~19지자기야장(성산).xlsx,야장출력결과
성산,2023-04-12,10:38:00,11:03:00,10:38~10:48,10:55~11:03,8,48891.625,33.524479916666664,126.89416197222224,,성산.지자기야장.23.04.12(text).xlsx,간편야장출력
성산,2023-04-12,11:29:00,11:56:00,11:29~11:33,11:50~11:56,8,48891.625,33.524479916666664,126.89416197222224,,성산.지자기야장.23.04.12(text).xlsx,간편야장출력
성산,2023-04-12,11:38:00,12:03:00,11:38~11:48,11:55~12:03,8,48891.625,33.524479916666664,126.89416197222224,,성산.지자기야장.23.04.12.xlsx,간편야장출력
성산,2023-04-12,12:29:00,12:56:00,12:29~12:33,12:50~12:56,8,48891.625,33.524479916666664,126.89416197222224,,성산.지자기야장.23.04.12.xlsx,간편야장출력
성산,2023-04-12,13:11:00,13:40:00,13:11~13:17,13:32~13:40,8,48891.625,33.524479916666664,126.89416197222224,,성산.지자기야장.23.04.12.xlsx,간편야장출력
성산,2023-04-12,13:12:00,13:40:00,13:12~13:17,13:32~13:40,8,48891.625,33.524479916666664,126.89416197222224,,성산.지자기야장.23.04.12(text).xlsx,간편야장출력
성산,2023-04-12,13:58:00,14:24:00,13:58~14:06,14:13~14:24,8,48922.013,33.524479916666664,126.89416197222224,,성산.지자기야장.23.04.12.xlsx,간편야장출력
성산,2023-04-12,14:37:00,15:03:00,14:37~14:44,14:54~15:03,8,48929.343,33.524479916666664,126.89416197222224,,성산.지자기야장.23.04.12.xlsx,간편야장출력
성산,2023-04-12,14:58:00,15:24:00,14:58~15:06,15:13~15:24,8,48922.013,33.524479916666664,126.89416197222224,,성산.지자기야장.23.04.12(text).xlsx,간편야장출력
성산,2023-04-12,15:14:00,15:37:00,15:14~15:23,15:28~15:37,8,48933.408,33.524479916666664,126.89416197222224,,성산.지자기야장.23.04.12.xlsx,간편야장출력
성산,2023-04-12,15:37:00,16:03:00,15:37~15:44,15:54~16:03,8,48929.343,33.524479916666664,126.89416197222224,,성산.지자기야장.23.04.12(text).xlsx,간편야장출력
성산,2023-04-12,16:14:00,16:37:00,16:14~16:23,16:28~16:37,8,48933.408,33.524479916666664,126.89416197222224,,성산.지자기야장.23.04.12(text).xlsx,간편야장출력
성산,2025-05-15,11:28:00,11:44:00,11:28~11:35,11:37~11:44,8,48995.89,33.52447986111111,126.89416197222224,,배포.지자기야장(25.05.15.0.~).성산점.xlsx,성산야장
성산,2025-05-15,11:28:00,14:40:00,11:28~14:40,,24,,33.52447986111111,126.89416197222224,,배포.지자기야장(25.05.15.0.~).성산점.xlsx,성산야장
